collected_date,reported_date,school_board,school_id,school,municipality,confirmed_student_cases,confirmed_staff_cases,confirmed_unspecified_cases,total_confirmed_cases,lon,lat
2021-11-03,2021-11-04,Algoma District School Board,161276,East View Public School,Sault Ste. Marie,2,0,0,2,-84.27980509999999,46.5168944
2021-11-03,2021-11-04,Algoma District School Board,227331,Grand View Public School,Sault Ste. Marie,10,1,0,11,-84.26650459999999,46.5094749
2021-11-03,2021-11-04,Algoma District School Board,485497,River View Public School,Sault Ste. Marie,7,1,0,8,-84.29871790000001,46.5178348
2021-11-03,2021-11-04,Avon Maitland District School Board,366021,Milverton Public School,Perth East,12,1,0,13,-80.9142637,43.5629945
2021-11-03,2021-11-04,Avon Maitland District School Board,528650,Sprucedale Public School,Perth East,1,0,0,1,-80.8391923,43.36763639999999
2021-11-03,2021-11-04,Avon Maitland District School Board,893395,Stratford District Secondary School,Stratford,1,0,0,1,-80.9937051,43.38518089999999
2021-11-03,2021-11-04,Avon Maitland District School Board,566667,Upper Thames Elementary School,West Perth,0,0,1,1,-81.185996,43.4736407
2021-11-03,2021-11-04,Bluewater District School Board,281131,Hanover Heights Community School,Hanover,1,0,0,1,-81.022125,44.1564869
2021-11-03,2021-11-04,Bluewater District School Board,273775,Huron Heights Public School,Kincardine,1,0,0,1,-81.6204302,44.1692091
2021-11-03,2021-11-04,Bluewater District School Board,919454,Kincardine District Secondary School,Kincardine,0,1,0,1,-81.6279526,44.1768463
2021-11-03,2021-11-04,Bluewater District School Board,293750,Kincardine Township-Tiverton Public School,Kincardine,1,0,0,1,-81.6082625,44.1852057
2021-11-03,2021-11-04,Brant Haldimand Norfolk Catholic District School Board,688088,Assumption College School High School,Brantford,1,0,0,1,-80.2968284,43.1214164
2021-11-03,2021-11-04,Brant Haldimand Norfolk Catholic District School Board,704940,St. Basil Catholic Elementary School,Brantford,3,0,0,3,-80.2977895,43.1104193
2021-11-03,2021-11-04,Brant Haldimand Norfolk Catholic District School Board,779067,St. Bernard of Clairvaux School,Norfolk County,2,0,0,2,-80.2940302,42.9257166
2021-11-03,2021-11-04,Brant Haldimand Norfolk Catholic District School Board,793256,St. Gabriel Catholic Catholic Elementary School,Brantford,0,1,0,1,-80.2937946,43.1230436
2021-11-03,2021-11-04,Catholic District School Board of Eastern Ontario,741361,Our Lady of Good Counsel Separate School,South Stormont,1,0,0,1,-74.9897634,45.0009875
2021-11-03,2021-11-04,Catholic District School Board of Eastern Ontario,806277,St Joseph's Secondary School,Cornwall,2,0,0,2,-74.749842,45.0344797
2021-11-03,2021-11-04,Conseil des écoles publiques de l'Est de l'Ontario,488291,École élémentaire publique Carrefour Jeunesse,Clarence-Rockland,4,0,0,4,-75.2878862,45.5440165
2021-11-03,2021-11-04,Conseil des écoles publiques de l'Est de l'Ontario,412597,École élémentaire publique Charlotte Lemieux,Ottawa,4,0,0,4,-75.7631854,45.3629578
2021-11-03,2021-11-04,Conseil des écoles publiques de l'Est de l'Ontario,417726,École élémentaire publique Des Sentiers,Ottawa,13,0,0,13,-75.4609256,45.4594765
2021-11-03,2021-11-04,Conseil des écoles publiques de l'Est de l'Ontario,204986,École élémentaire publique Gabrielle-Roy,Ottawa,2,0,0,2,-75.6344603,45.3485545
2021-11-03,2021-11-04,Conseil des écoles publiques de l'Est de l'Ontario,164852,École élémentaire publique Marie-Curie,Ottawa,0,2,0,2,-75.6307305,45.3986114
2021-11-03,2021-11-04,Conseil des écoles publiques de l'Est de l'Ontario,327445,École élémentaire publique Michaëlle-Jean,Ottawa,1,1,0,2,-75.7258355,45.2878282
2021-11-03,2021-11-04,Conseil des écoles publiques de l'Est de l'Ontario,383392,École élémentaire publique Rose des Vents,Cornwall,1,0,0,1,-74.693585,45.0314992
2021-11-03,2021-11-04,Conseil des écoles publiques de l'Est de l'Ontario,912662,École secondaire publique Gisèle-Lalonde,Ottawa,1,0,0,1,-75.4454481,45.4689434
2021-11-03,2021-11-04,Conseil des écoles publiques de l'Est de l'Ontario,904945,École secondaire publique Louis-Riel,Ottawa,1,0,0,1,-75.5714633,45.4414467
2021-11-03,2021-11-04,Conseil scolaire catholique MonAvenir,738190,ÉÉC Notre-Dame-de-la-Jeunesse-Niagara.F,Niagara Falls,1,0,0,1,-79.102347,43.06826299999999
2021-11-03,2021-11-04,Conseil scolaire catholique MonAvenir,773943,ÉÉC Pape-François,Whitchurch-Stouffville,0,1,0,1,-79.2544082,43.9674745
