school,municipality,lon,lat,unique_id
Rainy River High School,Rainy River,-94.5636481,48.7193316,Rainy River High SchoolRainy River
Keewatin Public School,Kenora,-94.5617908,49.7599871,Keewatin Public SchoolKenora
St. Louis School,Kenora,-94.556692,49.7587542,St. Louis SchoolKenora
St Louis Separate School,Kenora,-94.556692,49.7587542,St Louis Separate SchoolKenora
King George VI Public School,Kenora,-94.4818931,49.7622793,King George VI Public SchoolKenora
Evergreen Public School,Kenora,-94.4722152,49.7725686,Evergreen Public SchoolKenora
Beaver Brae Senior Elementary School,Kenora,-94.463286,49.775997,Beaver Brae Senior Elementary SchoolKenora
Beaver Brae Secondary School,Kenora,-94.463286,49.775997,Beaver Brae Secondary SchoolKenora
Ecole Ste. Marguerite Bourgeoys,Kenora,-94.4586603,49.7819497,Ecole Ste. Marguerite BourgeoysKenora
St. Thomas Aquinas HS (Intermediate),Kenora,-94.4586108,49.7833009,St. Thomas Aquinas HS (Intermediate)Kenora
Valleyview Public School,Kenora,-94.4457969,49.7831094,Valleyview Public SchoolKenora
Our Lady of the Way,Morley,-94.1645119,48.6772604,Our Lady of the WayMorley
Donald Young Public School,Emo,-93.8298807,48.6301321,Donald Young Public SchoolEmo
Golden Learning Centre,Balmertown,-93.7402077,51.0593618,Golden Learning CentreBalmertown
Golden Learning Centre,Red Lake,-93.7402077,51.0593618,Golden Learning CentreRed Lake
Crossroads Elementary Public School,La Vallee,-93.6733389,48.6296469,Crossroads Elementary Public SchoolLa Vallee
Fort Frances High School,Fort Frances,-93.4245452,48.6093597,Fort Frances High SchoolFort Frances
Open Roads PS,Dryden,-92.8405684,49.7734416,Open Roads PSDryden
Open Roads Public School,Dryden,-92.8405684,49.7734416,Open Roads Public SchoolDryden
New Prospect Public School,Dryden,-92.8374978,49.7938554,New Prospect Public SchoolDryden
Dryden High School,Dryden,-92.8320819,49.7818568,Dryden High SchoolDryden
Mine Centre Public School,Rainy River,-92.6166669,48.7666671,Mine Centre Public SchoolRainy River
Sacred Heart Separate School,Sioux Lookout,-91.927761,50.1017684,Sacred Heart Separate SchoolSioux Lookout
Sioux North District High School,Sioux Lookout,-91.9122333,50.107593,Sioux North District High SchoolSioux Lookout
Sioux Mountain Public School,Sioux Lookout,-91.9098694,50.1071396,Sioux Mountain Public SchoolSioux Lookout
Western Technical & Commercial School,Toronto,-91.246004,43.8153791,Western Technical & Commercial SchoolToronto
Upsala Public School,Thunder Bay,-90.4715806,49.0490709,Upsala Public SchoolThunder Bay
Crolancia Elementary School,Pickle Lake,-90.1946296,51.4659758,Crolancia Elementary SchoolPickle Lake
Whitefish Valley Public School,Gillies,-89.7020286,48.3046994,Whitefish Valley Public SchoolGillies
Valley Central Public School,Oliver Paipoonge,-89.468338,48.3255615,Valley Central Public SchoolOliver Paipoonge
Holy Family Catholic Elementary School,Thunder Bay,-89.359972,48.362953,Holy Family Catholic Elementary SchoolThunder Bay
St Francis Catholic Elementary School,Thunder Bay,-89.295757,48.392471,St Francis Catholic Elementary SchoolThunder Bay
Westgate Collegiate and Vocational Institute,Thunder Bay,-89.2905215,48.3736702,Westgate Collegiate and Vocational InstituteThunder Bay
Woodcrest Public School,Thunder Bay,-89.2848077,48.4507828,Woodcrest Public SchoolThunder Bay
St Martin Catholic Elementary School,Thunder Bay,-89.2792707,48.3698413,St Martin Catholic Elementary SchoolThunder Bay
Lakehead Adult Education Centre,Thunder Bay,-89.2697468,48.3833734,Lakehead Adult Education CentreThunder Bay
Kingsway Park Public School,Thunder Bay,-89.266674,48.372093,Kingsway Park Public SchoolThunder Bay
St Elizabeth Catholic Elementary School,Thunder Bay,-89.2599639,48.3730416,St Elizabeth Catholic Elementary SchoolThunder Bay
St Patrick High School,Thunder Bay,-89.2598347,48.3755839,St Patrick High SchoolThunder Bay
Pope John Paul II Elementary School,Thunder Bay,-89.2570559,48.3822231,Pope John Paul II Elementary SchoolThunder Bay
Hammarskjold High School,Thunder Bay,-89.2511962,48.4432444,Hammarskjold High SchoolThunder Bay
McKellar Park Central Public School,Thunder Bay,-89.249429,48.3873737,McKellar Park Central Public SchoolThunder Bay
Ecole Gron Morgan Public School,Thunder Bay,-89.2457587,48.4343047,Ecole Gron Morgan Public SchoolThunder Bay
École Gron Morgan Public School,Thunder Bay,-89.2457587,48.4343047,École Gron Morgan Public SchoolThunder Bay
Corpus Christi Catholic Elementary School,Thunder Bay,-89.2438971,48.4364888,Corpus Christi Catholic Elementary SchoolThunder Bay
Ogden Community Public School,Thunder Bay,-89.2381032,48.392682,Ogden Community Public SchoolThunder Bay
St Bernard Catholic Elementary School,Thunder Bay,-89.2358903,48.4481327,St Bernard Catholic Elementary SchoolThunder Bay
St. Margaret Elementary School,Thunder Bay,-89.2206916,48.4553782,St. Margaret Elementary SchoolThunder Bay
St Margaret Catholic Elementary School,Thunder Bay,-89.2206916,48.4553782,St Margaret Catholic Elementary SchoolThunder Bay
St. James Public School,Thunder Bay,-89.2145689,48.4422114,St. James Public SchoolThunder Bay
St James Public School,Thunder Bay,-89.2145689,48.4422114,St James Public SchoolThunder Bay
St Ignatius High School,Thunder Bay,-89.196699,48.452933,St Ignatius High SchoolThunder Bay
